Disease	Protein	GWAS_soucre	pQTL_source	OR_95CI	FDR	OR	lower	upper
Hematologic malignancy	ABL1	FinGenn	UKBPPP	1.7(1.1, 2.62)	0.017502484	1.7	1.1	2.62
Hematologic malignancy	MANSC1	FinGenn	UKBPPP	1.6(1.03, 2.49)	0.03489839	1.6	1.03	2.49
Hematologic malignancy	KRT19	FinGenn	UKBPPP	1.28(1.05, 1.56)	0.013112304	1.28	1.05	1.56
Hematologic malignancy	KYNU	FinGenn	UKBPPP	1.16(1.07, 1.26)	0.000564474	1.16	1.07	1.26
Hematologic malignancy	PDCD1	FinGenn	UKBPPP	1.11(1, 1.24)	0.046647317	1.11	1	1.24
Hematologic malignancy	TCL1A	FinGenn	UKBPPP	1.1(1.01, 1.2)	0.022008299	1.1	1.01	1.2
Hematologic malignancy	RNASET2	FinGenn	UKBPPP	1.08(1.01, 1.16)	0.019459729	1.08	1.01	1.16
Hematologic malignancy	CD7	FinGenn	UKBPPP	1.08(1, 1.16)	0.046720425	1.08	1	1.16
Hematologic malignancy	FCGR2A	FinGenn	UKBPPP	1.06(1.02, 1.11)	0.003336025	1.06	1.02	1.11
Hematologic malignancy	SUSD5	FinGenn	UKBPPP	1.06(1.01, 1.12)	0.019459595	1.06	1.01	1.12
Hematologic malignancy	MILR1	FinGenn	UKBPPP	1.04(1, 1.08)	0.030321187	1.04	1	1.08
Hematologic malignancy	LAIR2	FinGenn	DECODE	2.52(1.02, 6.22)	0.045673116	2.52	1.02	6.22
Hematologic malignancy	LRP1	FinGenn	DECODE	2.49(1.27, 4.88)	0.008041523	2.49	1.27	4.88
Hematologic malignancy	TCL1A	FinGenn	DECODE	1.16(1.03, 1.31)	0.016961888	1.16	1.03	1.31
Hematologic malignancy	GP1BA	FinGenn	DECODE	1.12(1, 1.26)	0.04919195	1.12	1	1.26
Hematologic malignancy	LY9	FinGenn	DECODE	1.07(1.01, 1.13)	0.014915298	1.07	1.01	1.13
Hematologic malignancy	PLXNB2	FinGenn	DECODE	1.06(1, 1.11)	0.035940015	1.06	1	1.11
