Protein,Model,HR_95CI,P,FDR,HR,lower,upper
A1BG,Model 0,"1.37(1.02,1.84)",0.038899777,0.0621375,1.37,1.02,1.84
AAMDC,Model 0,"1.10(0.99,1.22)",0.074607453,0.111206618,1.1,0.99,1.22
AARSD1,Model 0,"1.60(1.49,1.73)",3.18E-34,3.10E-33,1.6,1.49,1.73
ABCA2,Model 0,"1.39(1.21,1.60)",2.45E-06,6.46E-06,1.39,1.21,1.6
ABHD14B,Model 0,"1.21(1.11,1.31)",3.45E-06,8.92E-06,1.21,1.11,1.31
ABL1,Model 0,"1.23(1.15,1.31)",1.56E-10,5.87E-10,1.23,1.15,1.31
ABO,Model 0,"0.99(0.95,1.03)",0.520035659,0.598779229,0.99,0.95,1.03
ABRAXAS2,Model 0,"1.13(1.04,1.23)",0.002865139,0.005500465,1.13,1.04,1.23
ACAA1,Model 0,"1.07(1.01,1.13)",0.023788624,0.039178106,1.07,1.01,1.13
ACADM,Model 0,"0.94(0.87,1.03)",0.166547415,0.227434394,0.94,0.87,1.03
ACADSB,Model 0,"1.03(0.97,1.09)",0.388783333,0.468723093,1.03,0.97,1.09
ACAN,Model 0,"1.69(1.45,1.97)",3.05E-11,1.20E-10,1.69,1.45,1.97
ACE,Model 0,"1.22(0.99,1.50)",0.059496464,0.091148833,1.22,0.99,1.5
ACE2,Model 0,"1.30(1.21,1.41)",4.77E-12,1.95E-11,1.3,1.21,1.41
ACHE,Model 0,"1.26(1.08,1.48)",0.00307204,0.005874497,1.26,1.08,1.48
ACOT13,Model 0,"1.07(1.02,1.12)",0.007542487,0.013626287,1.07,1.02,1.12
ACOX1,Model 0,"1.19(1.09,1.31)",0.000117213,0.000262068,1.19,1.09,1.31
ACP1,Model 0,"1.18(1.05,1.33)",0.004963397,0.00922541,1.18,1.05,1.33
ACP5,Model 0,"1.51(1.33,1.72)",1.95E-10,7.30E-10,1.51,1.33,1.72
ACP6,Model 0,"1.18(1.09,1.27)",2.34E-05,5.66E-05,1.18,1.09,1.27
ACRBP,Model 0,"1.31(1.15,1.49)",3.44E-05,8.18E-05,1.31,1.15,1.49
ACRV1,Model 0,"1.12(1.07,1.17)",7.41E-07,2.05E-06,1.12,1.07,1.17
ACSL1,Model 0,"0.83(0.70,0.98)",0.030772969,0.050031777,0.83,0.7,0.98
ACTA2,Model 0,"1.77(1.66,1.90)",1.38E-60,2.67E-59,1.77,1.66,1.9
ACTN2,Model 0,"1.23(1.13,1.33)",1.01E-06,2.76E-06,1.23,1.13,1.33
ACTN4,Model 0,"1.28(1.12,1.45)",0.000200537,0.000435691,1.28,1.12,1.45
ACVRL1,Model 0,"4.30(3.72,4.96)",5.58E-88,2.20E-86,4.3,3.72,4.96
ACY1,Model 0,"1.19(1.11,1.27)",1.58E-07,4.60E-07,1.19,1.11,1.27
ACY3,Model 0,"1.29(1.17,1.41)",8.11E-08,2.42E-07,1.29,1.17,1.41
ACYP1,Model 0,"1.19(1.10,1.29)",2.74E-05,6.57E-05,1.19,1.1,1.29
ADA,Model 0,"1.58(1.41,1.77)",6.96E-15,3.32E-14,1.58,1.41,1.77
ADA2,Model 0,"2.23(2.03,2.45)",4.31E-62,9.04E-61,2.23,2.03,2.45
ADAM12,Model 0,"1.60(1.44,1.77)",8.96E-20,5.09E-19,1.6,1.44,1.77
ADAM15,Model 0,"1.89(1.63,2.21)",2.42E-16,1.22E-15,1.89,1.63,2.21
